YY,MM,DD,DISC
2016,09,04,1150
2016,09,05,1350
2016,09,06,1550
2016,09,07,2960
2016,09,08,4010
2016,09,09,4830
2016,09,10,4780
2016,09,11,4360
2016,09,12,3860
2016,09,13,3500
2016,09,14,3210
2016,09,15,2930
2016,09,16,2670
2016,09,17,2680
2016,09,18,3320
2016,09,19,3540
2016,09,20,3170
2016,09,21,2920
2016,09,22,2680
2016,09,23,2480
2016,09,24,2340
2016,09,25,2300
2016,09,26,2450
2016,09,27,2790
2016,09,28,2940
2016,09,29,3060
2016,09,30,2870
2016,10,01,2770
2016,10,02,2730
2016,10,03,2550
2016,10,04,2530
2016,10,05,2420
2016,10,06,2280
2016,10,07,2380
2016,10,08,2530
2016,10,09,2640
2016,10,10,2600
2016,10,11,2440
2016,10,12,2380
2016,10,13,2210
2016,10,14,2160
2016,10,15,2160
2016,10,16,1960
2016,10,17,1950
2016,10,18,2120
2016,10,19,2190
2016,10,20,2130
2016,10,21,2000
2016,10,22,1950
2016,10,23,1870
2016,10,24,1860
2016,10,25,1770
2016,10,26,1730
2016,10,27,1700
2016,10,28,1750
2016,10,29,1750
2016,10,30,1670
2016,10,31,1570
2017,06,01,5310
2017,06,02,4540
2017,06,03,4000
2017,06,04,3760
2017,06,05,3680
2017,06,06,3390
2017,06,07,3070
2017,06,08,2760
2017,06,09,2510
2017,06,10,2330
2017,06,11,2280
2017,06,12,2150
2017,06,13,1990
2017,06,14,2370
2017,06,15,3460
2017,06,16,3480
2017,06,17,2950
2017,06,18,2640
2017,06,19,2560
2017,06,20,2650
2017,06,21,2520
2017,06,22,2340
2017,06,23,2090
2017,06,24,2140
2017,06,25,1940
2017,06,26,2040
2017,06,27,2050
2017,06,28,2060
2017,06,29,2730
2017,06,30,3930
2017,07,01,3870
2017,07,02,3580
2017,07,03,3280
2017,07,04,2930
2017,07,05,2710
2017,07,06,3160
2017,07,07,3270
2017,07,08,3350
2017,07,09,3350
2017,07,10,3230
2017,07,11,3080
2017,07,12,2920
2017,07,13,2720
2017,07,14,2460
2017,07,15,2250
2017,07,16,1900
2017,07,17,1710
2017,07,18,1500
2017,07,19,1460
2017,07,20,1410
2017,07,21,1320
2017,07,22,1520
2017,07,23,1850
2017,07,24,2020
2017,07,25,1840
2017,07,26,1760
2017,07,27,1560
2017,07,28,1350
2017,07,29,1170
2017,07,30,983
2017,07,31,868
2017,08,01,907
2017,08,02,905
2017,08,03,964
2017,08,04,1170
2017,08,05,1290
2017,08,06,1430
2017,08,07,1210
2017,08,08,1070
2017,08,09,944
2017,08,10,952
2017,08,11,1190
2017,08,12,1190
2017,08,13,1100
2017,08,14,993
2017,08,15,952
2017,08,16,1020
2017,08,17,1380
2017,08,18,5900
2017,08,19,7410
2017,08,20,6500
2017,08,21,5340
2017,08,22,4810
2017,08,23,4150
2017,08,24,3710
2017,08,25,3200
2017,08,26,3050
2017,08,27,4550
2017,08,28,7060
2017,08,29,7110
2017,08,30,6070
2017,08,31,4950
2017,09,01,4230
2017,09,02,3960
2017,09,03,4900
2017,09,04,5090
2017,09,05,4630
2017,09,06,4300
2017,09,07,4100
2017,09,08,4050
2017,09,09,3720
2017,09,10,3290
2017,09,11,3120
2017,09,12,2970
2017,09,13,2830
2017,09,14,2610
2017,09,15,2320
2017,09,16,4360
2017,09,17,6540
2017,09,18,6640
2017,09,19,6470
2017,09,20,6200
2017,09,21,6450
2017,09,22,6690
2017,09,23,6780
2017,09,24,6810
2017,09,25,8020
2017,09,26,9290
2017,09,27,11100
2017,09,28,11700
2017,09,29,10700
2017,09,30,9630
2017,10,01,8700
2017,10,02,8160
2017,10,03,10800
2017,10,04,14800
2017,10,05,14600
2017,10,06,13100
2017,10,07,11700
2017,10,08,10500
2017,10,09,9450
2017,10,10,8500
2017,10,11,7700
2017,10,12,6900
2017,10,13,6260
2017,10,14,5540
2017,10,15,5270
2017,10,16,4810
2017,10,17,4560
2017,10,18,4160
2017,10,19,3900
2017,10,20,3690
2017,10,21,3330
2017,10,22,3310
2017,10,23,3190
2017,10,24,3110
2017,10,25,2880
2017,10,26,2850
2017,10,27,3170
2017,10,28,3150
2017,10,29,3260
2017,10,30,3250
2017,10,31,3110
2018,06,01,3160
2018,06,02,3170
2018,06,03,4000
2018,06,04,5140
2018,06,05,5180
2018,06,06,4740
2018,06,07,4470
2018,06,08,4160
2018,06,09,3730
2018,06,10,3610
2018,06,11,3990
2018,06,12,3780
2018,06,13,3480
2018,06,14,3220
2018,06,15,2940
2018,06,16,2980
2018,06,17,4790
2018,06,18,12600
2018,06,19,11000
2018,06,20,8440
2018,06,21,6640
2018,06,22,5570
2018,06,23,4600
2018,06,24,3910
2018,06,25,3630
2018,06,26,3200
2018,06,27,2880
2018,06,28,2580
2018,06,29,2580
2018,06,30,2560
2018,07,01,3020
2018,07,02,4250
2018,07,03,4340
2018,07,04,4480
2018,07,05,4970
2018,07,06,5200
2018,07,07,4910
2018,07,08,4410
2018,07,09,4930
2018,07,10,6300
2018,07,11,6260
2018,07,12,6830
2018,07,13,7260
2018,07,14,6140
2018,07,15,5300
2018,07,16,4510
2018,07,17,4010
2018,07,18,3410
2018,07,19,2800
2018,07,20,2510
2018,07,21,2430
2018,07,22,2280
2018,07,23,2120
2018,07,24,1930
2018,07,25,1750
2018,07,26,1630
2018,07,27,1460
2018,07,28,1470
