YY,MM,DD,DISC 
2019,10,10,210
2019,10,11,214
2019,10,12,205
2019,10,13,204
2019,10,14,200
2019,10,15,197
2019,10,16,200
2019,10,17,197
2019,10,18,192
2019,10,19,189
2019,10,20,183
2019,10,21,192
2019,10,22,233
2019,10,23,227
2019,10,24,219
2019,10,25,211
2019,10,26,204
2019,10,27,194
2019,10,28,186
2019,10,29,180
2019,10,30,177
2019,10,31,175
2020,06,01,200
2020,06,02,183
2020,06,03,174
2020,06,04,170
2020,06,05,165
2020,06,06,162
2020,06,07,161
2020,06,08,160
2020,06,09,155
2020,06,10,158
2020,06,11,155
2020,06,12,152
2020,06,13,148
2020,06,14,146
2020,06,15,145
2020,06,16,144
2020,06,17,142
2020,06,18,140
2020,06,19,139
2020,06,20,139
2020,06,21,141
2020,06,22,139
2020,06,23,136
2020,06,24,136
2020,06,25,134
2020,06,26,134
2020,06,27,133
2020,06,28,132
2020,06,29,142
2020,06,30,144
2020,07,01,141
2020,07,02,140
2020,07,03,135
2020,07,04,134
2020,07,05,132
2020,07,06,133
2020,07,07,138
2020,07,08,192
2020,07,09,455
2020,07,10,266
2020,07,11,221
2020,07,12,198
2020,07,13,179
2020,07,14,187
2020,07,15,204
2020,07,16,182
2020,07,17,176
2020,07,18,277
2020,07,19,441
2020,07,20,315
2020,07,21,374
2020,07,22,407
2020,07,23,344
2020,07,24,294
2020,07,25,268
2020,07,26,253
2020,07,27,235
2020,07,28,219
2020,07,29,206
2020,07,30,196
2020,07,31,190
2020,08,01,195
2020,08,02,193
2020,08,03,182
2020,08,04,175
2020,08,05,171
2020,08,06,168
2020,08,07,164
2020,08,08,394
2020,08,09,416
2020,08,10,589
2020,08,11,395
2020,08,12,322
2020,08,13,305
2020,08,14,284
2020,08,15,271
2020,08,16,249
2020,08,17,235
2020,08,18,222
2020,08,19,211
2020,08,20,205
2020,08,21,195
2020,08,22,241
2020,08,23,282
2020,08,24,229
2020,08,25,213
2020,08,26,209
2020,08,27,209
2020,08,28,203
2020,08,29,197
2020,08,30,193
2020,08,31,199
2020,09,01,192
2020,09,02,184
2020,09,03,178
2020,09,04,170
2020,09,05,167
2020,09,06,166
2020,09,07,163
2020,09,08,160
2020,09,09,158
2020,09,10,156
2020,09,11,154
2020,09,12,160
2020,09,13,159
2020,09,14,155
2020,09,15,154
2020,09,16,152
2020,09,17,150
2020,09,18,149
2020,09,19,149
2020,09,20,149
2020,09,21,146
2020,09,22,146
2020,09,23,153
2020,09,24,187
2020,09,25,175
2020,09,26,173
2020,09,27,170
2020,09,28,164
2020,09,29,160
2020,09,30,157
2020,10,01,155
2020,10,02,153
2020,10,03,152
2020,10,04,152
2020,10,05,152
2020,10,06,151
2020,10,07,150
2020,10,08,149
2020,10,09,149
2020,10,10,148
2020,10,11,148
2020,10,12,172
2020,10,13,174
2020,10,14,170
2020,10,15,174
2020,10,16,165
2020,10,17,162
2020,10,18,163
2020,10,19,159
2020,10,20,159
2020,10,21,164
2020,10,22,167
2020,10,23,181
2020,10,24,183
2020,10,25,177
2020,10,26,172
2020,10,27,166
2020,10,28,162
2020,10,29,163
2020,10,30,162
2020,10,31,163
2021,06,01,163
2021,06,02,157
2021,06,03,153
2021,06,04,150
2021,06,05,147
2021,06,06,143
2021,06,07,139
2021,06,08,139
2021,06,09,138
2021,06,10,138
2021,06,11,138
2021,06,12,137
2021,06,13,135
2021,06,14,134
2021,06,15,134
2021,06,16,134
2021,06,17,137
2021,06,18,136
2021,06,19,133
2021,06,20,139
2021,06,21,151
2021,06,22,141
2021,06,23,134
2021,06,24,152
2021,06,25,138
2021,06,26,136
2021,06,27,137
2021,06,28,140
2021,06,29,139
2021,06,30,137
2021,07,01,134
2021,07,02,133
2021,07,03,132
2021,07,04,131
2021,07,05,129
2021,07,06,138
2021,07,07,145
2021,07,08,137
2021,07,09,132
2021,07,10,129
2021,07,11,128
2021,07,12,125
2021,07,13,125
2021,07,14,127
2021,07,15,127
2021,07,16,125
2021,07,17,124
2021,07,18,124
2021,07,19,124
2021,07,20,124
2021,07,21,125
2021,07,22,128
2021,07,23,128
2021,07,24,146
2021,07,25,145
2021,07,26,141
2021,07,27,167
2021,07,28,142
2021,07,29,136
2021,07,30,132
2021,07,31,131
2021,08,01,127
2021,08,02,128
2021,08,03,127
2021,08,04,127
2021,08,05,129
2021,08,06,128
2021,08,07,129
2021,08,08,131
2021,08,09,131
2021,08,10,130
2021,08,11,130
2021,08,12,127
2021,08,13,126
2021,08,14,126
2021,08,15,128
2021,08,16,125
2021,08,17,124
2021,08,18,127
2021,08,19,124
2021,08,20,124
2021,08,21,125
2021,08,22,125
2021,08,23,125
2021,08,24,125
2021,08,25,125
2021,08,26,125
2021,08,27,127
2021,08,28,144
2021,08,29,185
2021,08,30,155
2021,08,31,145
2021,09,01,137
2021,09,02,132
2021,09,03,131
2021,09,04,131
2021,09,05,132
2021,09,06,130
2021,09,07,136
2021,09,08,134
2021,09,09,132
2021,09,10,131
2021,09,11,130
2021,09,12,128
2021,09,13,128
2021,09,14,157
2021,09,15,149
2021,09,16,144
2021,09,17,159
2021,09,18,152
2021,09,19,148
2021,09,20,206
2021,09,21,290
2021,09,22,274
2021,09,23,238
2021,09,24,216
2021,09,25,202
2021,09,26,184
2021,09,27,173
2021,09,28,162
2021,09,29,155
2021,09,30,151
2021,10,01,148
2021,10,02,151
2021,10,03,158
2021,10,04,160
2021,10,05,156
2021,10,06,151
2021,10,07,146
2021,10,08,146
2021,10,09,158
2021,10,10,157
2021,10,11,152
2021,10,12,149
2021,10,13,148
2021,10,14,144
2021,10,15,142
2021,10,16,140
2021,10,17,139
2021,10,18,138
2021,10,19,137
2021,10,20,136
2021,10,21,138
2021,10,22,137
2021,10,23,137
2021,10,24,135
2021,10,25,134
2021,10,26,134
2021,10,27,136
2021,10,28,140
2021,10,29,141
2021,10,30,139
2021,10,31,138
2022,06,01,214
2022,06,02,200
2022,06,03,186
2022,06,04,176
2022,06,05,171
2022,06,06,166
2022,06,07,162
2022,06,08,159
2022,06,09,155
2022,06,10,151
2022,06,11,151
2022,06,12,150
2022,06,13,147
2022,06,14,146
2022,06,15,146
2022,06,16,148
2022,06,17,141
2022,06,18,139
2022,06,19,139
