YY,MM,DD,DISC 
2016,08,15,224
2016,08,16,201
2016,08,17,191
2016,08,18,168
2016,08,19,154
2016,08,20,147
2016,08,21,136
2016,08,22,135
2016,08,23,121
2016,08,24,112
2016,08,25,103
2016,08,26,88.8
2016,08,27,85.2
2016,08,28,80.5
2016,08,29,89.0
2016,08,30,123
2016,08,31,126
2016,09,01,103
2016,09,02,83.2
2016,09,03,72.9
2016,09,04,68.9
2016,09,05,87.7
2016,09,06,179
2016,09,07,182
2016,09,08,209
2016,09,09,309
2016,09,10,245
2016,09,11,211
2016,09,12,183
2016,09,13,132
2016,09,14,107
2016,09,15,112
2016,09,16,116
2016,09,17,116
2016,09,18,124
2016,09,19,123
2016,09,20,99.9
2016,09,21,94.7
2016,09,22,94.9
2016,09,23,99.3
2016,09,24,117
2016,09,25,124
2016,09,26,123
2016,09,27,138
2016,09,28,97.6
2016,09,29,91.2
2016,09,30,94.0
2016,10,01,106
2016,10,02,120
2016,10,03,116
2016,10,04,126
2016,10,05,118
2016,10,06,116
2016,10,07,139
2016,10,08,202
2016,10,09,202
2016,10,10,177
2016,10,11,172
2016,10,12,166
2016,10,13,152
2016,10,14,142
2016,10,15,136
2016,10,16,132
2016,10,17,161
2016,10,18,252
2016,10,19,250
2016,10,20,218
2016,10,21,201
2016,10,22,181
2016,10,23,169
2016,10,24,158
2016,10,25,149
2016,10,26,145
2016,10,27,146
2016,10,28,153
2016,10,29,155
2016,10,30,149
2016,10,31,148
2017,06,01,338
2017,06,02,294
2017,06,03,282
2017,06,04,284
2017,06,05,255
2017,06,06,213
2017,06,07,189
2017,06,08,166
2017,06,09,149
2017,06,10,132
2017,06,11,120
2017,06,12,114
2017,06,13,118
2017,06,14,218
2017,06,15,362
2017,06,16,268
2017,06,17,201
2017,06,18,199
2017,06,19,337
2017,06,20,272
2017,06,21,237
2017,06,22,187
2017,06,23,154
2017,06,24,131
2017,06,25,120
2017,06,26,108
2017,06,27,106
2017,06,28,110
2017,06,29,545
2017,06,30,603
2017,07,01,630
2017,07,02,495
2017,07,03,315
2017,07,04,227
2017,07,05,205
2017,07,06,339
2017,07,07,513
2017,07,08,460
2017,07,09,329
2017,07,10,298
2017,07,11,277
2017,07,12,232
2017,07,13,260
2017,07,14,264
2017,07,15,232
2017,07,16,194
2017,07,17,168
2017,07,18,183
2017,07,19,308
2017,07,20,289
2017,07,21,218
2017,07,22,940
2017,07,23,702
2017,07,24,415
2017,07,25,309
2017,07,26,258
2017,07,27,240
2017,07,28,199
2017,07,29,160
2017,07,30,134
2017,07,31,119
2017,08,01,109
2017,08,02,94.1
2017,08,03,124
2017,08,04,622
2017,08,05,473
2017,08,06,356
2017,08,07,282
2017,08,08,219
2017,08,09,182
2017,08,10,214
2017,08,11,341
2017,08,12,294
2017,08,13,211
2017,08,14,179
2017,08,15,186
2017,08,16,184
2017,08,17,348
2017,08,18,779
2017,08,19,515
2017,08,20,370
2017,08,21,284
2017,08,22,239
2017,08,23,209
2017,08,24,181
2017,08,25,159
2017,08,26,196
2017,08,27,1590
2017,08,28,1130
2017,08,29,701
2017,08,30,506
2017,08,31,399
2017,09,01,323
2017,09,02,301
2017,09,03,289
2017,09,04,265
2017,09,05,245
2017,09,06,241
2017,09,07,215
2017,09,08,195
2017,09,09,186
2017,09,10,166
2017,09,11,155
2017,09,12,143
2017,09,13,129
2017,09,14,125
2017,09,15,110
2017,09,16,103
2017,09,17,101
2017,09,18,99.1
2017,09,19,98.6
2017,09,20,126
2017,09,21,224
2017,09,22,649
2017,09,23,1110
2017,09,24,752
2017,09,25,554
2017,09,26,963
2017,09,27,1380
2017,09,28,752
2017,09,29,542
2017,09,30,434
2017,10,01,366
2017,10,02,340
2017,10,03,3980
2017,10,04,7070
2017,10,05,3870
2017,10,06,1850
2017,10,07,1360
2017,10,08,1140
2017,10,09,907
2017,10,10,727
2017,10,11,609
2017,10,12,532
2017,10,13,485
2017,10,14,454
2017,10,15,808
2017,10,16,1030
2017,10,17,677
2017,10,18,543
2017,10,19,466
2017,10,20,418
2017,10,21,388
2017,10,22,460
2017,10,23,484
2017,10,24,420
2017,10,25,381
2017,10,26,355
2017,10,27,399
2017,10,28,685
2017,10,29,676
2017,10,30,612
2017,10,31,633
2018,06,01,673
2018,06,02,568
2018,06,03,2280
2018,06,04,1460
2018,06,05,846
2018,06,06,655
2018,06,07,965
2018,06,08,643
2018,06,09,468
2018,06,10,378
2018,06,11,316
