YY MM DD DISC 
2018 08 12 224
2018 08 13 197
2018 08 14 181
2018 08 15 170
2018 08 16 175
2018 08 17 171
2018 08 18 163
2018 08 19 155
2018 08 20 153
2018 08 21 151
2018 08 22 147
2018 08 23 142
2018 08 24 1030
2018 08 25 2200
2018 08 26 1490
2018 08 27 2020
2018 08 28 5980
2018 08 29 4200
2018 08 30 2510
2018 08 31 1960
2018 09 01 1720
2018 09 02 1310
2018 09 03 1470
2018 09 04 1190
2018 09 05 1870
2018 09 06 1670
2018 09 07 1160
2018 09 08 895
2018 09 09 715
2018 09 10 601
2018 09 11 513
2018 09 12 445
2018 09 13 402
2018 09 14 362
2018 09 15 343
2018 09 16 359
2018 09 17 357
2018 09 18 333
2018 09 19 307
2018 09 20 311
2018 09 21 1650
2018 09 22 2370
2018 09 23 1930
2018 09 24 1360
2018 09 25 1910
2018 09 26 1670
2018 09 27 1330
2018 09 28 1220
2018 09 29 1060
2018 09 30 864
2018 10 01 731
2018 10 02 644
2018 10 03 621
2018 10 04 1260
2018 10 05 1510
2018 10 06 1470
2018 10 07 1240
2018 10 08 1090
2018 10 09 1970
2018 10 10 7070
2018 10 11 9280
2018 10 12 6140
2018 10 13 3620
2018 10 14 2390
2018 10 15 1750
2018 10 16 1410
2018 10 17 1180
2018 10 18 1010
2018 10 19 898
2018 10 20 826
2018 10 21 781
2018 10 22 743
2018 10 23 704
2018 10 24 668
2018 10 25 635
2018 10 26 611
2018 10 27 592
2018 10 28 628
2018 10 29 801
2018 10 30 773
2018 10 31 731
2019 06 01 724
2019 06 02 614
2019 06 03 534
2019 06 04 495
2019 06 05 832
2019 06 06 624
2019 06 07 533
2019 06 08 455
2019 06 09 391
2019 06 10 362
2019 06 11 342
2019 06 12 319
2019 06 13 292
2019 06 14 279
2019 06 15 281
2019 06 16 280
2019 06 17 265
2019 06 18 260
2019 06 19 256
2019 06 20 252
2019 06 21 246
2019 06 22 247
2019 06 23 262
2019 06 24 409
2019 06 25 512
2019 06 26 495
2019 06 27 407
2019 06 28 362
2019 06 29 328
2019 06 30 321
2019 07 01 341
2019 07 02 335
2019 07 03 304
2019 07 04 277
2019 07 05 370
2019 07 06 416
2019 07 07 346
2019 07 08 280
2019 07 09 244
2019 07 10 239
2019 07 11 240
2019 07 12 220
2019 07 13 226
2019 07 14 198
2019 07 15 375
2019 07 16 594
2019 07 17 635
2019 07 18 531
2019 07 19 531
2019 07 20 481
2019 07 21 472
2019 07 22 410
2019 07 23 346
2019 07 24 293
2019 07 25 255
