YY,MM,DD,WDIR,WSPD,ATMP
2013.0,10.0,19.0,5.0,2.72,5.8
2013.0,10.0,20.0,7.0,2.13,3.8
2013.0,10.0,21.0,6.0,6.07,2.1
2013.0,10.0,22.0,7.0,3.16,2.9
2013.0,10.0,23.0,7.0,4.71,2.1
2013.0,10.0,24.0,6.0,3.25,1.9
2013.0,10.0,25.0,5.0,5.15,3.0
2013.0,10.0,26.0,7.0,4.45,6.7
2013.0,10.0,27.0,5.0,3.87,4.9
2013.0,10.0,28.0,1.0,3.5,2.0
2013.0,10.0,29.0,6.0,1.28,1.2
2013.0,10.0,30.0,1.0,1.89,4.45
2013.0,10.0,31.0,1.0,1.03,7.2
2014.0,6.0,1.0,1.0,2.02,8.0
2014.0,6.0,2.0,1.0,2.02,8.0
2014.0,6.0,3.0,6.0,6.65,17.15
2014.0,6.0,4.0,1.0,1.68,12.9
2014.0,6.0,5.0,1.0,2.15,8.9
2014.0,6.0,6.0,2.0,1.85,11.65
2014.0,6.0,7.0,1.0,2.18,13.3
2014.0,6.0,8.0,2.0,1.44,14.05
2014.0,6.0,9.0,2.0,1.82,10.45
2014.0,6.0,10.0,1.0,2.23,9.75
2014.0,6.0,11.0,2.0,2.06,10.6
2014.0,6.0,12.0,6.0,6.2,11.45
2014.0,6.0,13.0,7.0,4.09,14.0
2014.0,6.0,14.0,1.0,5.04,7.65
2014.0,6.0,15.0,1.0,7.22,8.3
2014.0,6.0,16.0,5.0,4.17,18.85
2014.0,6.0,17.0,1.0,1.57,13.9
2014.0,6.0,18.0,1.0,6.7,11.5
2014.0,6.0,19.0,1.0,6.13,9.4
2014.0,6.0,20.0,1.0,3.31,7.6
2014.0,6.0,21.0,1.0,3.77,7.2
2014.0,6.0,22.0,1.0,2.55,8.6
2014.0,6.0,23.0,2.0,1.29,10.0
2014.0,6.0,24.0,2.0,3.46,10.5
2014.0,6.0,25.0,1.0,5.61,9.3
2014.0,6.0,26.0,1.0,2.54,9.5
2014.0,6.0,27.0,1.0,3.09,9.3
2014.0,6.0,28.0,1.0,2.87,10.25
2014.0,6.0,29.0,1.0,3.53,13.5
2014.0,6.0,30.0,5.0,7.86,23.65
2014.0,7.0,1.0,6.0,6.68,20.4
2014.0,7.0,2.0,0.0,3.8,16.35
2014.0,7.0,3.0,7.0,2.8,19.3
2014.0,7.0,4.0,1.0,2.45,16.1
2014.0,7.0,5.0,5.0,3.8,16.75
2014.0,7.0,6.0,5.0,4.27,21.05
2014.0,7.0,7.0,6.0,5.21,23.15
2014.0,7.0,8.0,1.0,2.18,12.7
2014.0,7.0,9.0,7.0,3.07,17.25
2014.0,7.0,10.0,1.0,1.7,15.5
2014.0,7.0,11.0,2.0,1.61,13.5
2014.0,7.0,12.0,5.0,2.12,20.8
2014.0,7.0,13.0,6.0,5.69,19.65
2014.0,7.0,14.0,6.0,4.05,14.1
2014.0,7.0,15.0,0.0,3.97,15.4
2014.0,7.0,16.0,1.0,1.88,15.5
2014.0,7.0,17.0,5.0,3.37,20.5
2014.0,7.0,18.0,1.0,2.06,15.9
2014.0,7.0,19.0,1.0,3.01,13.9
2014.0,7.0,20.0,1.0,2.23,15.4
2014.0,7.0,21.0,5.0,2.89,23.7
2014.0,7.0,22.0,1.0,5.18,21.9
2014.0,7.0,23.0,1.0,2.14,19.4
2014.0,7.0,24.0,2.0,1.3,16.0
2014.0,7.0,25.0,1.0,1.5,15.9
2014.0,7.0,26.0,5.0,3.37,21.7
2014.0,7.0,27.0,1.0,3.17,15.6
2014.0,7.0,28.0,7.0,3.76,17.9
2014.0,7.0,29.0,7.0,4.74,20.1
2014.0,7.0,30.0,5.0,2.65,16.6
2014.0,7.0,31.0,7.0,2.82,22.4
2014.0,8.0,1.0,2.0,1.58,18.0
2014.0,8.0,2.0,2.0,1.33,16.4
2014.0,8.0,3.0,1.0,1.24,19.55
2014.0,8.0,4.0,1.0,2.48,17.95
2014.0,8.0,5.0,2.0,1.42,17.4
2014.0,8.0,6.0,1.0,2.13,20.5
2014.0,8.0,7.0,1.0,2.28,17.5
2014.0,8.0,8.0,1.0,1.86,18.4
2014.0,8.0,9.0,1.0,1.41,19.1
2014.0,8.0,10.0,1.0,1.48,20.7
2014.0,8.0,11.0,1.0,2.9,19.3
2014.0,8.0,12.0,0.0,2.91,17.8
2014.0,8.0,13.0,1.0,2.31,20.2
2014.0,8.0,14.0,1.0,1.88,18.5
2014.0,8.0,15.0,5.0,1.96,19.2
2014.0,8.0,16.0,5.0,4.03,22.9
2014.0,8.0,17.0,2.0,6.2,16.3
2014.0,8.0,18.0,2.0,4.22,15.4
2014.0,8.0,19.0,1.0,2.05,16.2
2014.0,8.0,20.0,1.0,1.44,17.9
2014.0,8.0,21.0,1.0,5.72,17.5
2014.0,8.0,22.0,2.0,4.01,17.2
2014.0,8.0,23.0,1.0,3.83,17.7
2014.0,8.0,24.0,1.0,5.53,17.7
2014.0,8.0,25.0,5.0,3.84,18.6
2014.0,8.0,26.0,6.0,5.01,17.1
2014.0,8.0,27.0,3.0,1.91,16.45
