YY,MM,DD,WDIR,WSPD,ATMP
2014.0,10.0,19.0,4.0,2.61,6.2
2014.0,10.0,20.0,7.0,2.95,10.3
2014.0,10.0,21.0,1.0,4.04,7.7
2014.0,10.0,22.0,0.0,1.37,1.75
2014.0,10.0,23.0,4.0,3.0,12.0
2014.0,10.0,24.0,4.0,3.1,11.0
2014.0,10.0,25.0,6.0,4.71,14.7
2014.0,10.0,26.0,4.0,1.82,8.9
2014.0,10.0,27.0,0.0,0.43,8.8
2014.0,10.0,28.0,5.0,2.58,8.7
2014.0,10.0,29.0,7.0,4.39,5.6
2014.0,10.0,30.0,5.0,1.57,5.3
2014.0,10.0,31.0,0.0,10.0,2.3
2015.0,6.0,1.0,0.0,1.57,7.2
2015.0,6.0,2.0,4.0,2.11,13.3
2015.0,6.0,3.0,4.0,1.06,16.6
2015.0,6.0,4.0,0.0,0.57,11.1
2015.0,6.0,5.0,0.0,1.56,8.8
2015.0,6.0,6.0,0.0,0.6,7.1
2015.0,6.0,7.0,4.0,1.85,17.3
2015.0,6.0,8.0,4.0,1.27,17.2
2015.0,6.0,9.0,4.0,1.38,16.6
2015.0,6.0,10.0,0.0,2.87,19.0
2015.0,6.0,11.0,0.0,0.72,15.3
2015.0,6.0,12.0,0.0,0.57,13.7
2015.0,6.0,13.0,0.0,0.2,13.9
2015.0,6.0,14.0,0.0,0.29,13.6
2015.0,6.0,15.0,0.0,1.0,17.7
2015.0,6.0,16.0,0.0,1.95,14.8
2015.0,6.0,17.0,0.0,0.59,13.4
2015.0,6.0,18.0,0.0,1.81,14.1
2015.0,6.0,19.0,4.0,1.14,12.7
2015.0,6.0,20.0,4.0,2.29,19.0
2015.0,6.0,21.0,0.0,0.05,12.6
2015.0,6.0,22.0,0.0,1.11,17.8
2015.0,6.0,23.0,0.0,2.31,17.3
2015.0,6.0,24.0,0.0,1.23,17.6
2015.0,6.0,25.0,0.0,0.88,14.1
2015.0,6.0,26.0,0.0,0.18,13.2
2015.0,6.0,27.0,0.0,0.2,15.4
2015.0,6.0,28.0,0.0,1.1,18.9
2015.0,6.0,29.0,0.0,0.33,18.4
2015.0,6.0,30.0,1.0,4.71,13.15
2015.0,7.0,1.0,0.0,0.05,11.4
2015.0,7.0,2.0,4.0,1.73,15.2
2015.0,7.0,3.0,4.0,1.49,19.1
2015.0,7.0,4.0,0.0,0.11,17.0
2015.0,7.0,5.0,4.0,1.92,20.4
2015.0,7.0,6.0,0.0,2.8,19.2
2015.0,7.0,7.0,0.0,3.82,15.4
2015.0,7.0,8.0,4.0,2.2,16.3
2015.0,7.0,9.0,0.0,0.55,17.1
