YY,MM,DD,WDIR,WSPD,ATMP
2015.0,8.0,23.0,4.0,7.92,15.8
2015.0,8.0,24.0,6.0,11.67,12.15
2015.0,8.0,25.0,7.0,9.59,11.1
2015.0,8.0,26.0,7.0,5.53,12.05
2015.0,8.0,27.0,5.0,4.69,12.8
2015.0,8.0,28.0,4.0,3.69,13.55
2015.0,8.0,29.0,5.0,6.8,14.6
2015.0,8.0,30.0,5.0,6.83,14.5
2015.0,8.0,31.0,4.0,4.15,15.35
2015.0,9.0,1.0,5.0,4.77,16.1
2015.0,9.0,2.0,2.0,2.22,15.8
2015.0,9.0,3.0,1.0,2.63,15.5
2015.0,9.0,4.0,2.0,3.12,16.2
2015.0,9.0,5.0,2.0,5.02,16.15
2015.0,9.0,6.0,5.0,6.53,17.45
2015.0,9.0,7.0,6.0,4.73,17.9
2015.0,9.0,8.0,2.0,4.14,16.4
2015.0,9.0,9.0,6.0,8.14,15.4
2015.0,9.0,10.0,6.0,6.96,13.85
2015.0,9.0,11.0,0.0,6.67,10.85
2015.0,9.0,12.0,1.0,3.22,12.65
2015.0,9.0,13.0,5.0,9.53,13.75
2015.0,9.0,14.0,5.0,8.49,15.05
2015.0,9.0,15.0,2.0,3.99,15.05
2015.0,9.0,16.0,4.0,8.46,17.0
2015.0,9.0,17.0,4.0,6.04,17.05
2015.0,9.0,18.0,7.0,7.02,14.65
2015.0,9.0,19.0,0.0,6.04,14.1
2015.0,9.0,20.0,6.0,8.38,14.9
2015.0,9.0,21.0,4.0,7.14,15.0
2015.0,9.0,22.0,4.0,7.62,15.75
2015.0,9.0,23.0,2.0,5.2,12.85
2015.0,9.0,24.0,2.0,7.83,12.0
2015.0,9.0,25.0,1.0,6.8,11.5
2015.0,9.0,26.0,4.0,4.13,12.7
2015.0,9.0,27.0,5.0,7.42,15.05
2015.0,9.0,28.0,6.0,4.54,15.25
2015.0,9.0,29.0,7.0,8.71,10.7
