YY,MM,DD,WTMP
2017,9,11,16.8
2017,9,12,17.19
2017,9,13,17.43
2017,9,14,17.71
2017,9,15,17.61
2017,9,16,17.4
2017,9,17,17.24
2017,9,18,17.19
2017,9,19,17.43
2017,9,20,17.48
2017,9,21,17.63
2017,9,22,17.6
2017,9,23,17.2
2017,9,24,17.05
2017,9,25,16.93
2017,9,26,16.57
2017,9,27,16.39
2017,9,28,16.36
2017,9,29,16.25
2017,9,30,16.13
2017,10,1,16.06
2017,10,2,15.91
2017,10,3,15.74
2017,10,4,15.64
2017,10,5,15.44
2017,10,6,15.23
2017,10,7,15.2
2017,10,8,15.17
2017,10,9,14.92
2017,10,10,14.74
2017,10,11,14.6
2017,10,12,14.47
2017,10,13,14.3
2017,10,14,14.14
2017,10,15,13.94
2017,10,16,13.76
2017,10,17,13.7
2017,10,18,13.56
2017,10,19,13.41
2017,10,20,13.44
2017,10,21,13.33
2017,10,22,13.2
2017,10,23,13.11
2017,10,24,12.92
2017,10,25,12.57
2017,10,26,12.64
2017,10,27,12.73
2017,10,28,12.66
2017,10,29,12.41
2017,10,30,12.26
2017,10,31,11.73
2018,6,1,4.86
2018,6,2,4.87
2018,6,3,4.86
2018,6,4,4.88
2018,6,5,4.94
2018,6,6,5.09
2018,6,7,5.36
2018,6,8,5.75
2018,6,9,6.01
2018,6,10,6.08
2018,6,11,6.29
2018,6,12,6.57
2018,6,13,6.75
2018,6,14,6.84
2018,6,15,6.94
2018,6,16,7.12
2018,6,17,7.39
2018,6,18,7.69
2018,6,19,7.96
2018,6,20,8.18
2018,6,21,8.29
2018,6,22,8.36
2018,6,23,8.39
2018,6,24,8.47
2018,6,25,8.46
2018,6,26,8.6
2018,6,27,8.81
2018,6,28,9.19
2018,6,29,9.74
2018,6,30,11.39
2018,7,1,11.75
2018,7,2,11.76
2018,7,3,11.6
2018,7,4,11.51
2018,7,5,12.08
2018,7,6,14.74
2018,7,7,17.14
2018,7,8,18.3
2018,7,9,18.74
2018,7,10,18.82
2018,7,11,18.85
2018,7,12,18.78
2018,7,13,18.69
2018,7,14,18.88
2018,7,15,19.02
2018,7,16,19.43
2018,7,17,19.46
2018,7,18,19.69
2018,7,19,19.93
2018,7,20,19.99
2018,7,21,20.02
2018,7,22,20.09
2018,7,23,20.44
2018,7,24,20.64
2018,7,25,20.75
2018,7,26,20.65
