date,WDIRcos,WDIRsin,WSPD,ATMP,WTMP,DISC,bloom
2014-10-02,-1.0,0.0,4.02,9.4,9.85,264.0,0.0
2014-10-03,0.71,-0.71,6.63,9.85,9.63,333.0,0.0
2014-10-04,1.0,0.0,8.46,4.95,9.34,342.0,0.0
2014-10-05,-0.0,-1.0,11.73,5.5,9.18,334.0,0.0
2014-10-06,-0.71,-0.71,9.24,6.75,9.14,324.0,0.0
2014-10-07,-0.0,-1.0,5.5,6.1,9.11,308.0,0.0
2014-10-08,0.71,-0.71,11.88,4.65,9.07,286.0,0.0
2014-10-09,0.71,-0.71,12.2,6.4,8.92,275.0,0.0
2014-10-10,0.71,-0.71,7.39,6.5,8.77,281.0,0.0
2014-10-11,-0.71,-0.71,5.58,6.25,8.78,260.0,0.0
2014-10-12,-0.71,-0.71,7.92,8.15,8.91,250.0,0.0
2014-10-13,-1.0,0.0,4.73,8.75,8.99,240.0,0.0
2014-10-14,1.0,0.0,2.72,8.45,9.11,239.0,0.0
2014-10-15,1.0,0.0,4.2,9.1,9.19,229.0,0.0
2014-10-16,0.0,1.0,3.38,6.95,9.18,221.0,0.0
2014-10-17,1.0,0.0,5.27,6.75,9.02,220.0,0.0
2014-10-18,1.0,0.0,6.0,3.6,8.81,216.0,0.0
2014-10-19,-1.0,0.0,6.31,4.7,8.57,215.0,0.0
2014-10-20,1.0,0.0,5.77,7.0,8.46,214.0,0.0
2014-10-21,0.71,0.71,4.64,3.4,8.39,212.0,0.0
2014-10-22,-1.0,0.0,7.72,5.7,8.38,205.0,0.0
2014-10-23,-1.0,0.0,7.85,7.25,8.38,202.0,0.0
2014-10-24,-0.71,-0.71,5.97,7.5,8.33,203.0,0.0
2014-10-25,-0.0,-1.0,12.02,10.45,8.27,201.0,0.0
2014-10-26,0.71,-0.71,7.74,5.75,8.16,194.0,0.0
2014-10-27,-0.71,0.71,8.93,5.7,8.11,200.0,0.0
2014-10-28,0.0,1.0,6.39,5.65,8.01,199.0,0.0
2014-10-29,0.71,-0.71,8.05,3.6,7.79,196.0,0.0
2014-10-30,1.0,0.0,1.38,3.5,7.56,197.0,0.0
2014-10-31,1.0,0.0,7.77,-0.25,7.4,198.0,0.0
2015-06-01,0.0,1.0,2.64,3.8,2.26,895.0,0.0
2015-06-02,-0.71,0.71,4.75,5.35,2.24,827.0,0.0
2015-06-03,-0.71,0.71,4.03,6.8,2.29,780.0,0.0
2015-06-04,0.71,0.71,4.57,5.25,2.22,865.0,0.0
2015-06-05,0.71,0.71,4.71,6.7,2.15,930.0,0.0
2015-06-06,-0.71,0.71,4.81,4.35,2.3,886.0,0.0
2015-06-07,-0.71,0.71,5.5,5.65,2.21,1000.0,0.0
2015-06-08,-0.0,-1.0,5.1,8.4,2.04,1140.0,0.0
2015-06-09,-0.0,-1.0,5.17,7.4,2.23,1170.0,0.0
2015-06-10,-0.0,-1.0,7.75,7.8,2.5,1060.0,0.0
2015-06-11,0.71,-0.71,3.02,9.8,2.66,934.0,0.0
2015-06-12,0.0,1.0,3.24,4.95,2.86,836.0,0.0
2015-06-13,0.0,1.0,3.88,6.55,2.85,758.0,0.0
2015-06-14,0.71,0.71,3.87,5.9,2.75,697.0,0.0
2015-06-15,-0.71,-0.71,4.42,6.25,2.63,650.0,0.0
2015-06-16,-0.0,-1.0,6.42,8.5,2.61,615.0,0.0
2015-06-17,-1.0,0.0,4.84,7.5,2.56,577.0,0.0
2015-06-18,-1.0,0.0,4.82,6.45,2.4,528.0,0.0
2015-06-19,-0.0,-1.0,5.33,7.6,2.29,495.0,0.0
2015-06-20,0.71,0.71,5.19,5.2,2.37,481.0,0.0
2015-06-21,-0.0,-1.0,4.4,6.8,2.52,490.0,0.0
2015-06-22,0.0,1.0,4.5,4.9,2.58,522.0,0.0
2015-06-23,0.71,-0.71,7.74,8.85,2.2,861.0,0.0
2015-06-24,0.0,1.0,5.26,8.25,2.32,834.0,0.0
2015-06-25,0.0,1.0,2.93,4.2,3.0,763.0,0.0
2015-06-26,-1.0,0.0,3.5,5.4,3.01,731.0,0.0
2015-06-27,-0.71,0.71,3.42,7.35,2.89,688.0,0.0
2015-06-28,-1.0,0.0,3.86,6.95,2.82,623.0,0.0
2015-06-29,-1.0,0.0,2.97,8.15,3.11,589.0,0.0
2015-06-30,1.0,0.0,3.69,7.9,3.47,602.0,0.0
2015-07-01,-0.71,-0.71,3.71,8.65,3.56,570.0,0.0
2015-07-02,-0.71,-0.71,3.44,8.2,3.78,526.0,0.0
2015-07-03,-0.0,-1.0,5.7,10.7,3.96,521.0,0.0
2015-07-04,-1.0,0.0,3.41,11.4,4.02,507.0,0.0
2015-07-05,-1.0,0.0,4.0,8.85,4.03,475.0,0.0
2015-07-06,-0.0,-1.0,3.4,11.35,4.03,463.0,0.0
2015-07-07,-0.0,-1.0,6.42,10.1,4.02,459.0,0.0
2015-07-08,-0.71,-0.71,6.7,9.6,4.02,433.0,0.0
2015-07-09,-0.71,-0.71,4.11,11.0,4.04,404.0,0.0
2015-07-10,-0.71,-0.71,3.94,11.9,4.04,386.0,0.0
2015-07-11,-0.71,-0.71,2.98,13.3,4.06,354.0,0.0
2015-07-12,0.0,1.0,3.53,6.85,4.11,336.0,0.0
2015-07-13,0.0,1.0,4.38,8.4,4.15,340.0,0.0
2015-07-14,1.0,0.0,3.68,10.9,6.37,1020.0,0.0
2015-07-15,-0.71,0.71,4.2,10.1,6.47,1360.0,0.0
2015-07-16,-0.71,0.71,3.9,9.1,6.68,1030.0,0.0
2015-07-17,0.0,1.0,2.28,11.05,6.18,773.0,0.0
2015-07-18,0.0,1.0,3.68,8.25,5.86,636.0,0.0
2015-07-19,-0.0,-1.0,9.32,13.45,6.68,549.0,0.0
2015-07-20,-0.0,-1.0,9.28,14.15,7.39,492.0,0.0
2015-07-21,-0.0,-1.0,8.09,13.5,7.64,455.0,0.0
2015-07-22,-0.0,-1.0,5.72,14.5,7.73,409.0,0.0
2015-07-23,-0.71,0.71,2.83,12.25,7.75,374.0,0.0
2015-07-24,-0.71,0.71,4.47,11.7,7.76,346.0,0.0
2015-07-25,-0.0,-1.0,8.17,17.4,7.75,327.0,0.0
2015-07-26,-0.0,-1.0,4.39,15.6,8.53,311.0,0.0
2015-07-27,-1.0,0.0,3.1,13.95,9.63,298.0,0.0
2015-07-28,0.0,1.0,5.36,12.75,10.51,285.0,0.0
2015-07-29,-0.71,-0.71,10.17,16.05,11.69,279.0,0.0
2015-07-30,-0.0,-1.0,12.21,16.25,12.35,267.0,0.0
2015-07-31,-0.0,-1.0,10.64,14.65,12.83,268.0,0.0
2015-08-01,-0.0,-1.0,9.47,14.9,13.18,263.0,0.0
2015-08-02,-0.71,-0.71,5.89,14.7,13.11,255.0,0.0
2015-08-03,-0.0,-1.0,7.27,13.65,12.71,245.0,0.0
2015-08-04,0.71,-0.71,4.42,13.4,12.62,238.0,0.0
2015-08-05,-0.0,-1.0,5.73,14.0,13.14,232.0,0.0
2015-08-06,-0.71,0.71,3.86,13.95,13.53,223.0,0.0
2015-08-07,0.0,1.0,6.24,11.75,14.33,216.0,0.0
2015-08-08,-0.71,0.71,6.03,14.15,14.94,210.0,0.0
2015-08-09,-0.71,-0.71,5.9,14.85,15.09,202.0,0.0
2015-08-10,-0.0,-1.0,4.2,15.25,15.24,199.0,0.0
2015-08-11,0.71,-0.71,4.69,15.7,15.31,195.0,0.0
2015-08-12,-0.0,-1.0,6.4,16.55,15.29,191.0,0.0
2015-08-13,-0.0,-1.0,3.9,17.2,15.33,186.0,0.0
2015-08-14,-0.0,-1.0,4.53,19.55,15.52,183.0,0.0
2015-08-15,-1.0,0.0,5.38,19.25,15.7,176.0,0.0
